lead #,lead name,lead address,lead number,lead url
0,"Active Again,"," 18 Lambie Drive, Manukau, Auckland",+64 (0508) 686 686,www.activeagain.co.nz
1,"Corson Dental,"," 2 Willow Street, Tauranga, Bay of Plenty",+64 (07) 578 3243,www.corsondental.co.nz
2,"Liposuction Institute,"," 72A Apollo Drive, Rosedale, Auckland",+64 (09) 479 8802,www.liposuction-institute.co.nz
3,"Punch Supplements,"," 3a Civil Place, Rosedale, Albany",+64 (09) 489 2265,www.punchsupplements.co.nz
4,"Momentum Pilates Tauranga,"," 78 First Avenue, Tauranga",+64 (07) 578 7870,www.momentumpilates.co.nz
5,"Accent Dental Solutions,"," 332 Ponsonby Road, Ponsonby, Auckland",+64 (09) 376 4374,www.accentds.co.nz
6,"Acupuncturist  & Herbalist,"," 9 Elgin Street, Grey Lynn, Auckland, New Zealand 1021",+64 (09) 360 4040,www.acuherb.co.nz
7,"Anytime Fitness Whangarei,"," 93-95 Walton Street , Basin, Whangarei",+64 (09) 438 8863,www.anytimefitnesswhangarei.co.nz
8,"Archer Retirement Villages & Rest Homes,"," Colombo Street, Beckenham, Christchurch",+64 (03) 943 6006,www.archer.org.nz
9,"Auckland Craniosacral Therapy,"," 60 Virginia Avenue West, Eden Terrace",+64 (021) 234 3572,www.aucklandcraniosacral.co.nz
10,"Auckland Eye,"," 8 St Marks Road, Remuera 1050, Auckland",+64 (0800) 25 53 93,www.aucklandeye.co.nz
11,"Auckland Print Shop,", 98-102 Albert Street Auckalnd,+64 (09) 281 5101,www.printshopauckland.co.nz
12,"Body4U,"," 588 Chapel Road, East Tamaki, Auckland",+64 (09) 271 4415,www.body4u.co.nz
13,"BodyFit Physiotherapy,"," 563 Pakuranga Road, Howick, Auckland",+64 (09) 532 8942,www.bodyfitphysio.co.nz
14,"St Marks Breast Centre,"," 10 St Marks Road, Remuera, Auckland",+64 (09) 520 0389,www.smwh.co.nz
15,"Brut New Zealand,"," 228 Bush Road, Albany, Auckland",+64 (09) 415 8624,www.brut.co.nz
16,"Contemporary Dental,"," 935b Mt Eden Road, Mt Eden, Auckland",+64 (09) 638 3306,www.contemporarydental.co.nz
17,"Dentist Onehunga,"," 281b Onehunga Mall, Onehunga, Auckland",+64 (09) 634 1100,www.dentistonehunga.co.nz
18,"FoodFX,"," 32 Oreti Crescent, Papamoa, Tauranga",+64 (07) 574 7126,www.foodfx.co.nz
19,"Augustus Clinic,"," Augustus Terrace, Parnell, Auckland",+64 (09) 522 5206,www.augustusclinic.co.nz
20,"easyDNA Limited,"," Cook Street, City Centre, Auckland",+64 (09) 355 1785,www.easydna.co.nz
21,"Emma G Total Health,"," 14B Hocking Street, Mount Maunganui, Tauranga",+64 (027) 431 5920,www.emmagtotalhealth.co.nz
22,"Eyes of Howick,"," 100 Picton Street, Howick, Auckland",+64 (09) 534 5565,www.eyesofhowick.co.nz
23,"Fat Chance Publications,"," 23 Elmira Avenue, Hokowhitu, Palmerston North",+64 (06) 354 1234,www.fatchance.co.nz
24,"Glow Dental,"," Shop 11/101 Lunn Avenue Mt Wellington, Auckland 1072",+64 (09) 600 2744,www.glowdental.co.nz
25,"Tga Box Fitness & Health,"," 43 Waihi Road, Judea, Tauranga",+64 (07) 578 0788,www.tgabox.co.nz
26,"Head Start Testing,"," PO Box 55356, Eastridge, Auckland ",+64 (02) 8003 4192,www.headstarttesting.com
27,"Healtheries,"," Auckland, New Zealand",+64 (09) 362 0607,www.healtheries.co.nz
28,"Honor Body Scrubs,"," 104 Muricata Avenue, Mount Maunganui, Welcome Bay, Tauranga",+64 (027) 445 2221,www.honorbodyscrubs.com
29,"VIPCARE,"," 35c Enderley Avenue, Enderley, Hamilton",+64 (0800) 438 847,www.vipcare.co.nz
